Ozone,Solar.R,Wind,Temp,Month,Day,date,Solar
41,190,7.4,67,5,1,5/1/1973 0:00,190
36,118,8,72,5,2,5/2/1973 0:00,118
12,149,12.6,74,5,3,5/3/1973 0:00,149
18,313,11.5,62,5,4,5/4/1973 0:00,313
42.13,185.9,14.3,56,5,5,5/5/1973 0:00,185.9
28,185.9,14.9,66,5,6,5/6/1973 0:00,185.9
23,299,8.6,65,5,7,5/7/1973 0:00,299
19,99,13.8,59,5,8,5/8/1973 0:00,99
8,19,20.1,61,5,9,5/9/1973 0:00,19
42.13,194,8.6,69,5,10,5/10/1973 0:00,194
7,185.9,6.9,74,5,11,5/11/1973 0:00,185.9
16,256,9.7,69,5,12,5/12/1973 0:00,256
11,290,9.2,66,5,13,5/13/1973 0:00,290
14,274,10.9,68,5,14,5/14/1973 0:00,274
18,65,13.2,58,5,15,5/15/1973 0:00,65
14,334,11.5,64,5,16,5/16/1973 0:00,334
34,307,12,66,5,17,5/17/1973 0:00,307
6,78,18.4,57,5,18,5/18/1973 0:00,78
30,322,11.5,68,5,19,5/19/1973 0:00,322
11,44,9.7,62,5,20,5/20/1973 0:00,44
1,8,9.7,59,5,21,5/21/1973 0:00,8
11,320,16.6,73,5,22,5/22/1973 0:00,320
4,25,9.7,61,5,23,5/23/1973 0:00,25
32,92,12,61,5,24,5/24/1973 0:00,92
42.13,66,16.6,57,5,25,5/25/1973 0:00,66
42.13,266,14.9,58,5,26,5/26/1973 0:00,266
42.13,185.9,8,57,5,27,5/27/1973 0:00,185.9
23,13,12,67,5,28,5/28/1973 0:00,13
45,252,14.9,81,5,29,5/29/1973 0:00,252
115,223,5.7,79,5,30,5/30/1973 0:00,223
37,279,7.4,76,5,31,5/31/1973 0:00,279
42.13,286,8.6,78,6,1,6/1/1973 0:00,286
42.13,287,9.7,74,6,2,6/2/1973 0:00,287
42.13,242,16.1,67,6,3,6/3/1973 0:00,242
42.13,186,9.2,84,6,4,6/4/1973 0:00,186
42.13,220,8.6,85,6,5,6/5/1973 0:00,220
42.13,264,14.3,79,6,6,6/6/1973 0:00,264
29,127,9.7,82,6,7,6/7/1973 0:00,127
42.13,273,6.9,87,6,8,6/8/1973 0:00,273
71,291,13.8,90,6,9,6/9/1973 0:00,291
39,323,11.5,87,6,10,6/10/1973 0:00,323
42.13,259,10.9,93,6,11,6/11/1973 0:00,259
42.13,250,9.2,92,6,12,6/12/1973 0:00,250
23,148,8,82,6,13,6/13/1973 0:00,148
42.13,332,13.8,80,6,14,6/14/1973 0:00,332
42.13,322,11.5,79,6,15,6/15/1973 0:00,322
21,191,14.9,77,6,16,6/16/1973 0:00,191
37,284,20.7,72,6,17,6/17/1973 0:00,284
20,37,9.2,65,6,18,6/18/1973 0:00,37
12,120,11.5,73,6,19,6/19/1973 0:00,120
13,137,10.3,76,6,20,6/20/1973 0:00,137
42.13,150,6.3,77,6,21,6/21/1973 0:00,150
42.13,59,1.7,76,6,22,6/22/1973 0:00,59
42.13,91,4.6,76,6,23,6/23/1973 0:00,91
42.13,250,6.3,76,6,24,6/24/1973 0:00,250
42.13,135,8,75,6,25,6/25/1973 0:00,135
42.13,127,8,78,6,26,6/26/1973 0:00,127
42.13,47,10.3,73,6,27,6/27/1973 0:00,47
42.13,98,11.5,80,6,28,6/28/1973 0:00,98
42.13,31,14.9,77,6,29,6/29/1973 0:00,31
42.13,138,8,83,6,30,6/30/1973 0:00,138
135,269,4.1,84,7,1,7/1/1973 0:00,269
49,248,9.2,85,7,2,7/2/1973 0:00,248
32,236,9.2,81,7,3,7/3/1973 0:00,236
42.13,101,10.9,84,7,4,7/4/1973 0:00,101
64,175,4.6,83,7,5,7/5/1973 0:00,175
40,314,10.9,83,7,6,7/6/1973 0:00,314
77,276,5.1,88,7,7,7/7/1973 0:00,276
97,267,6.3,92,7,8,7/8/1973 0:00,267
97,272,5.7,92,7,9,7/9/1973 0:00,272
85,175,7.4,89,7,10,7/10/1973 0:00,175
42.13,139,8.6,82,7,11,7/11/1973 0:00,139
10,264,14.3,73,7,12,7/12/1973 0:00,264
27,175,14.9,81,7,13,7/13/1973 0:00,175
42.13,291,14.9,91,7,14,7/14/1973 0:00,291
7,48,14.3,80,7,15,7/15/1973 0:00,48
48,260,6.9,81,7,16,7/16/1973 0:00,260
35,274,10.3,82,7,17,7/17/1973 0:00,274
61,285,6.3,84,7,18,7/18/1973 0:00,285
79,187,5.1,87,7,19,7/19/1973 0:00,187
63,220,11.5,85,7,20,7/20/1973 0:00,220
16,7,6.9,74,7,21,7/21/1973 0:00,7
42.13,258,9.7,81,7,22,7/22/1973 0:00,258
42.13,295,11.5,82,7,23,7/23/1973 0:00,295
80,294,8.6,86,7,24,7/24/1973 0:00,294
108,223,8,85,7,25,7/25/1973 0:00,223
20,81,8.6,82,7,26,7/26/1973 0:00,81
52,82,12,86,7,27,7/27/1973 0:00,82
82,213,7.4,88,7,28,7/28/1973 0:00,213
50,275,7.4,86,7,29,7/29/1973 0:00,275
64,253,7.4,83,7,30,7/30/1973 0:00,253
59,254,9.2,81,7,31,7/31/1973 0:00,254
39,83,6.9,81,8,1,8/1/1973 0:00,83
9,24,13.8,81,8,2,8/2/1973 0:00,24
16,77,7.4,82,8,3,8/3/1973 0:00,77
78,185.9,6.9,86,8,4,8/4/1973 0:00,185.9
35,185.9,7.4,85,8,5,8/5/1973 0:00,185.9
66,185.9,4.6,87,8,6,8/6/1973 0:00,185.9
122,255,4,89,8,7,8/7/1973 0:00,255
89,229,10.3,90,8,8,8/8/1973 0:00,229
110,207,8,90,8,9,8/9/1973 0:00,207
42.13,222,8.6,92,8,10,8/10/1973 0:00,222
42.13,137,11.5,86,8,11,8/11/1973 0:00,137
44,192,11.5,86,8,12,8/12/1973 0:00,192
28,273,11.5,82,8,13,8/13/1973 0:00,273
65,157,9.7,80,8,14,8/14/1973 0:00,157
42.13,64,11.5,79,8,15,8/15/1973 0:00,64
22,71,10.3,77,8,16,8/16/1973 0:00,71
59,51,6.3,79,8,17,8/17/1973 0:00,51
23,115,7.4,76,8,18,8/18/1973 0:00,115
31,244,10.9,78,8,19,8/19/1973 0:00,244
44,190,10.3,78,8,20,8/20/1973 0:00,190
21,259,15.5,77,8,21,8/21/1973 0:00,259
